French,English
salle de sport,gym
entraînement,training
exercice,exercise
musculation,weightlifting
cardio,cardio
échauffement,warm-up
étirement,stretching
poids,weights
haltère,dumbbell
barre,barbell
machine,machine
tapis de course,treadmill
vélo,bike
elliptique,elliptical
rameur,rowing machine
piscine,pool
cours,class
coach,coach
entraîneur,trainer
séance,session
répétition,repetition
série,set
muscle,muscle
bras,arm
jambe,leg
dos,back
poitrine,chest
épaule,shoulder
abdos,abs
fessiers,glutes
cuisse,thigh
mollet,calf
biceps,biceps
triceps,triceps
pectoraux,pecs
dorsaux,lats
cardio-vasculaire,cardiovascular
endurance,endurance
force,strength
souplesse,flexibility
équilibre,balance
posture,posture
respiration,breathing
rythme,rhythm
intensité,intensity
durée,duration
vitesse,speed
résistance,resistance
charge,load
effort,effort
douleur,pain
blessure,injury
fatigue,fatigue
repos,rest
récupération,recovery
nutrition,nutrition
alimentation,diet
hydratation,hydration
protéine,protein
glucide,carbohydrate
lipide,fat
calorie,calorie
supplément,supplement
vestiaire,locker room
douche,shower
serviette,towel
casier,locker
miroir,mirror
balance,scale
musique,music
énergie,energy
motivation,motivation
objectif,goal
progrès,progress
résultat,result
forme,shape
santé,health
bien-être,well-being
activité,activity
physique,physical
sport,sport
athlète,athlete
compétition,competition
record,record
performance,performance
équipement,equipment
vêtement,clothing
chaussures,shoes
tapis,mat
gant,glove
ceinture,belt
bouteille,bottle
chronomètre,stopwatch
fréquence cardiaque,heart rate
tension artérielle,blood pressure
soulever,to lift
pousser,to push
tirer,to pull
courir,to run
nager,to swim
sauter,to jump
plonger,to dive
ramer,to row
pedaler,to pedal
transpirer,to sweat
se reposer,to rest
se blesser,to get injured
guérir,to heal
